all2lwr.bat 	-- Командный файл для перевода имени файла в нижний регистр
all2upr.bat 	-- Командный файл для перевода имени файлов в верхний регистр
freqdic.exe 	-- Программа "частотный словарь"
Account.bat 	-- Создание/удаление/активация аккаунта Windows.\nUSAGE: Account.bat make|delete|activate account [password]\nВ
Activate.bat 	-- Активация Windows и/или Office KMS активатором. Активатор устанавливается отдельно\nUSAGE: Activate.bat win|off|all [KMS Server]\nВ
AddDHCPScope.bat 	-- Добавляет диапазон (scope) для DHCP серверов в локальной сети\nUSAGE: AddDHCPScope.bat scope_ip scope_mask scope_nameВ
AddDHCPScopeIP.bat 	-- Добавляет на DHCP сервер зарезервированные адреса в диапазон IP адресов\nUSAGE: AddDHCPScopeIP.bat scope_ip host_ip host_mac host_name\nгде scope_ip диапазон адресов (адрес сети)\nhost_ip ip адрес хоста зарезервированный\nhost_mac  MAC адрес сетевой карты хоста с зарезервированным ip\nhost_name имя хоста\nВ
AddGroupToDomainAdmin.bat 	-- Добавляет группу локальных администраторов компьютера в группу администраторов домена Windows\nUSAGE: AddGroupToDomainAdmin.bat DOMAIN\nгде DOMAIN - NetBIOS домен сетиВ
AddUserToAdmins.bat 	-- Добавляет пользователя в группу Администраторы\nUSAGE: AddUserToAdmins.bat [host\\]User\nВ
AddUserToDCOMUsers.bat 	-- Добавляет пользователя в группу пользователей Distributed COM\nUSAGE: AddUserToDCOMUsers.bat [host\\]User\nВ
AddUserToDNSAdmins.bat 	-- Добавляет пользователя в группу администраторов DNS\nUSAGE: AddUserToDNSAdmins.bat [host\\]UserВ
AddUserToRemoteUsers.bat 	-- Добавляет пользователя в группу пользователей удалённого доступа\nUSAGE: AddUserToRemoteUsers.bat [host\\]UserВ
AdminShares.bat 	-- Разрешает/запрещает административную шару на компьютере (в том числе анонимный доступ и нулевую сессию)\nUSAGE: AdminShares.bat enable|disableВ
ApplySettingsProfile.bat 	-- Применяет профиль компьютера для дома и офиса (остановка служб и сервисов)\nUSAGE: ApplySettingsProfile.bat [home|work]\n\n!!! Данный скрипт для своего нормального применения требует доработки !!!\nВ
AuthorizeDHCP.bat 	-- Активизировать данный DHCP сервер в дереве Active Directory\nUSAGE: AuthorizeDHCP.bat fqdn ip\nВ
AutoLogon.bat 	-- Выключает и включает автоматический вход в Windows\nUSAGE: AutoLogon.bat disable|enable [[[domain] user] pass]В
BackupSystemDrive.bat 	-- Архивирование диска C на текущий диск [D:]\nUSAGE: BackupSystemDrive.bat [backup_target]\nВ
CachingWDigest.bat 	-- Включение и выключение протокола WDigest\nUSAGE: CachingWDigest.bat enable|disable\nВ
CAD.bat 	-- Включение и выключение вызова Ctrl+Alt+Del при входе в систему\nUSAGE: CAD.bat disable|enableВ
CCM.bat 	-- Удаляет или проверяет состояние Клиента менеджера конфигураций\nUSAGE: CCM.bat remove|check\nВ
CheckAdminRights.bat 	-- Проверяет права администратора в системе\nUSAGE: CheckAdminRights.bat\nИспользует файлы EchoSecc.bat и EchoFail.bat\nВ
